ticker,percent,price,name
LKOH,15.51,6421,ЛУКОЙЛ
SBER,12.42,259.18,Сбербанк
GAZP,11.23,116.87,ГАЗПРОМ ао
TATN,6.74,596.9,Татнфт 3ао
GMKN,4.47,113.2,ГМКНорНик
NVTK,3.55,922,Новатэк ао
TCSG,3.4,2525,ТКСХолд ао
PLZL,3.1,12749.5,Полюс
SNGS,3.03,24.25,Сургнфгз
SNGSP,2.79,49.16,Сургнфгз-п
SBERP,2.4,259.14,Сбербанк-п
ROSN,2.26,477.8,Роснефть
CHMF,1.96,1251.2,СевСт-ао
PIKK,1.65,731.1,ПИК ао
IRAO,1.49,3.652,ИнтерРАОао
NLMK,1.43,140.72,НЛМК ао
OZON,1.42,3293,OZON-адр
FIVE,1.27,,FIVE-гдр
RUAL,1.25,33.05,РУСАЛ ао
TATNP,1.24,592.9,Татнфт 3ап
MOEX,1.24,206.09,МосБиржа
MAGN,1.18,43.675,ММК
MGNT,1.14,4930.5,Магнит ао
ALRS,1.09,53.77,АЛРОСА ао
RTKM,1.04,77.13,Ростел -ао
MTSS,0.98,195.35,МТС-ао
VTBR,0.88,96.35,ВТБ ао
AGRO,0.84,1218,AGRO-гдр
AFLT,0.74,46.36,Аэрофлот
POSI,0.73,2624.2,iПозитив
CBOM,0.71,6.726,МКБ ао
PHOR,0.7,5119,ФосАгро ао
AFKS,0.68,18.131,Система ао
VKCO,0.62,375.2,"МКПАО ""ВК"""
TRNFP,0.6,1302,Транснф ап
FLOT,0.51,93.96,Совкомфлот
BSPB,0.5,360.03,БСП ао
FEES,0.43,0.09418,Россети
ENPG,0.36,333.2,ЭН+ГРУП ао
GLTR,0.33,545.35,GLTR-гдр
MSNG,0.31,2.4355,+МосЭнерго
UPRO,0.29,1.773,Юнипро ао
SELG,0.27,51.25,Селигдар
SMLT,0.24,2195,Самолет ао
MTLR,0.24,114.42,Мечел ао
LEAS,0.23,721.7,Европлан
HYDR,0.22,0.5515,РусГидро
MTLRP,0.16,125.75,Мечел ап
SGZH,0.13,1.811,Сегежа
